transferId,deployHash,blockHash,sourcePurse,targetPurse,amount,fromAccount,toAccount,timestamp
null,fa5eec12c70d230f8d8d1638e884e2fd9d47fd79150884fc73057f1d432fd441,f4f0a66c0ea80534fa1e596e9caa02b98d6f4d7ce224e7364ed1d0f88221d1cf,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-1e3ebde87c89ec946cb4ab650d5c0eca8e4bae1331361326221e422b11244494-004,517621475100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,f842f7c3c2bc8b1f5bb2ae5363461ab14b6015a268db8b9197e63914fad82370,2021-09-18T09:40:46.000Z
null,e4fbafcbf19ea1f22abf6097b0d25a193cfc5cd73c812b735e02a340dd833e89,aad985394533b1b7fefe59c37a1274416d76c34e902cff3003d013c6e2c4c74c,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-112f2e5d5a60f79dfff3fe405b743a5f2e62888a9e8222885205667c8d08c3c5-004,207326112310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,bbabf94e794d764721b4b188622e4d1f9e9a7b9a2e08117563277d515debad2e,2021-09-18T09:36:35.000Z
null,0dfc47c84f75d6ff6242b7e305e1884688dac58feec0b3933d1d172f55bcaf22,c9fbe8d4afb58f7d141d16cc95f0c8fd4815a7e7d8249249233e1a537dabfee6,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-bfc8d741eeb96d7abd77b594febb6479ce0788b26a482d4cc0c90243f5673493-004,1700000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,4b8b82e69795ae909fb6a7593d4f9a6262dfa46da19921057326664fc83683fe,2021-09-18T09:34:37.000Z
1039,a017a75403a7d8711133f8d8c050bdf9534088d3ac74008101041e388280a420,6b7178e8dd7d670093f04480191ba680e287592f2633a0265875d7b7e9c14c04,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,51789134310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T09:33:34.000Z
null,cddd02a07454082e004e6237078550ff79361c7f727ee193102ebc5c2ea94c94,6007824747f9664576a476f1fa9a373350f8dc1c75d632070f49b13c41eee484,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-a44472349aae645f05792694d329aeade7d3de68ac4d5566b7475aa2c60a7e98-004,17621512200,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,74d3843d7a045aca446ff93256656df64da47c393393d40aca7c699a19f1f366,2021-09-18T09:32:35.000Z
683,b7a4022ea1463b135689f8af2ba9288e963f93c2f4d72c2a6380ba0d40401236,cd5473cc29508e30dc94dd39ba0aceb6c575d0ff57b5bce8b0b840b6b5ab9054,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,250000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T09:27:32.000Z
null,af4b205ef8490df1e66b9ba3b9d4f5fb726e030a8179f5ef795acf2264a66537,9d491877e1806ea8aa8856fb5001f33d0c21837ef48a4cd0f3c94b04493eb069,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-bfc8d741eeb96d7abd77b594febb6479ce0788b26a482d4cc0c90243f5673493-004,131000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,4b8b82e69795ae909fb6a7593d4f9a6262dfa46da19921057326664fc83683fe,2021-09-18T09:20:45.000Z
null,9c817ef88e01f864a32518aec38d1f52f7b25f2b27d0d927818d4eac94bab64e,af9e67bf265126ad9756ae6f7f25b87f40a456db4fe9bcb665e5c37fd486db3e,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-98907db14f7666c7dfcb55b5334dd1645d456baf01d6022c55df8f2e8fdd2156-004,368546487100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,edf3fee1e58cbf00fc7be42dc8a3c10c2a84b189e30f5c58e6b17fa059f12121,2021-09-18T09:17:29.000Z
null,9a3f298bd29adbfebae390da2fe603ee184837db9263b7838d2c3507e33a1efa,b82045e0167d12f8b0357a27b39b71144519917d6d0f9c5367292ccd375beb01,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-b1af7e6747328d3a5530dd4cdab3f1210207164ce8262444bf8ba4b75a83dbd9-004,7841783378000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,c4e6948be1a9dfa7339ec3f416d0ce52806391932b055fa75a73ce6de55d866f,2021-09-18T08:55:33.000Z
3451,8fa3f784e07f516a736ae8eb56775c5ceb3503fb4bf547c3d360cc1843b751e7,e70f43e7b43e5283e219287f2c10b0dcae33c43432c772756719c914b933936e,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,30000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T08:36:37.000Z
null,aff6e082eb3ece687400f4fef86a48764935284cc5fa492dccbe01f4b8519970,4bcb76954d48e389ecb590768d5bbf9ffc5b6f3bb45743bb3f17dda324c800a7,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-b1af7e6747328d3a5530dd4cdab3f1210207164ce8262444bf8ba4b75a83dbd9-004,200000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,c4e6948be1a9dfa7339ec3f416d0ce52806391932b055fa75a73ce6de55d866f,2021-09-18T08:28:35.000Z
null,4b1a5e0104e242f5e93331c05e1d86b88785470d1be50bd6f730827c5de6ab65,9f303b9bbb93bbec99b203b155fe285a7f21e95aee654ca9d545ea265129d40c,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f071ea2a67f764f6cf549bf48d8b9d8158fc23016dc41a9377bcd32b11c56ab3-004,517621475100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,f0813cb5fef975327b6b1cc80b6507c1005245f55335d62c4dc4bb43eff7e8c6,2021-09-18T08:23:30.000Z
1631953245935,e0094d59d64741dac4a97f4bacdc0343f93f8f0c83a4db448795cc60a20a32ed,9f303b9bbb93bbec99b203b155fe285a7f21e95aee654ca9d545ea265129d40c,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-2554ff1710a89793a98ef5ee18cde50dabefbdc87d95d48f7bbe8743e8eda7b1-004,51789134310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,6cf46c6de92f2128c21872773c7fa6056bb3b17be820d15eb04af50109f8374f,2021-09-18T08:22:41.000Z
null,67506221f55b944eec47fd4a589ede0f37d23ede08f7ec18e2f49b91f4b8bf4c,26f2e47d71f2043475ac6e8528f263ecfd1a3e1757800d78a2e8fe032577db6b,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-cedb47d95ea29a3e2a879f9f2a2f4d409c2c82ff54cae63bcc22e8fd177141cc-004,80686969120,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,bc6fe69006f2d338dd4e0baa823c260ab19cb67662bfcb8f8fed963a1e54755c,2021-09-18T08:13:33.000Z
null,301c46b3dd06f80f5ff23a83bba991ee3a44f938592c12866a9f75671ff03a55,26f2e47d71f2043475ac6e8528f263ecfd1a3e1757800d78a2e8fe032577db6b,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-77003bb470dfbaffca074a575023c0827da7f42305556b72e4fd66ba0f01ef3e-004,39571972615100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,6737113bd81261389f018eca891e7c783650a7c878a6a9ffe6696b648c84fde5,2021-09-18T08:13:30.000Z
